,last_update,timestamp,tests_performed,abbreviation_canton,name_canton,number_canton,lat,long,total_positive_cases,total_currently_positive_cases,new_hosp,total_hospitalized,intensive_care,total_currently_positive_per_100k,deaths_per_100k,released,ncumul_ICU_intub,deaths,ncumul_vent,current_isolated,current_quarantined,ncumul_confirmed_non_resident,current_hosp_non_resident,current_quarantined_riskareatravel,ncumul_ICF,TotalPosTests1,ninst_ICU_intub,new_positive_cases,new_deaths,source,doubling_time_total_positive,doubling_time_fatalities
1860,2020-07-23 12:06:14,2020-05-15 06:00:00,,TI,Ticino,21,46.295617,8.808924,3279,3279,-8,63,7,927.06,96.409,864,0,341,5,,,,,,,,,7,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,809.990755,1180.082227
1880,2020-07-23 12:06:14,2020-05-16 06:00:00,,TI,Ticino,21,46.295617,8.808924,3280,3280,-4,59,8,927.34,96.409,870,0,341,5,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,945.56722,1180.082227
1900,2020-07-23 12:06:14,2020-05-17 06:00:00,,TI,Ticino,21,46.295617,8.808924,3284,3284,-2,57,7,928.47,96.692,873,0,342,4,,,,,,,,,4,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,709.608016,590.906278
1926,2020-07-23 12:06:14,2020-05-18 06:00:00,,TI,Ticino,21,46.295617,8.808924,3285,3285,-1,56,5,928.75,96.975,874,0,343,3,,,,,,,,,1,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,874.03079,592.63915
1951,2020-07-23 12:06:14,2020-05-19 06:00:00,,TI,Ticino,21,46.295617,8.808924,3285,3285,-2,54,5,928.75,97.258,877,0,344,4,,,,,,,,,0,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,874.03079,395.668986
1978,2020-07-23 12:06:14,2020-05-20 06:00:00,,TI,Ticino,21,46.295617,8.808924,3287,3287,-1,53,4,929.32,97.258,881,0,344,4,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1422.250667,395.668986
2000,2020-07-23 12:06:14,2020-05-21 06:00:00,,TI,Ticino,21,46.295617,8.808924,3301,3301,-3,50,5,933.28,97.258,885,0,344,5,,,,,,,,,14,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,543.045966,395.668986
2023,2020-07-23 12:06:14,2020-05-22 06:00:00,,TI,Ticino,21,46.295617,8.808924,3304,3304,-4,46,5,934.12,97.54,887,0,345,3,,,,,,,,,3,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,570.80495,396.824238
2042,2020-07-23 12:06:14,2020-05-23 06:00:00,,TI,Ticino,21,46.295617,8.808924,3304,3304,-1,45,6,934.12,97.823,888,0,346,5,,,,,,,,,0,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,600.938699,397.979491
2062,2020-07-23 12:06:14,2020-05-24 06:00:00,,TI,Ticino,21,46.295617,8.808924,3305,3305,5,50,4,934.41,98.106,888,0,347,4,,,,,,,,,1,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,570.978237,399.134744
2089,2020-07-23 12:06:14,2020-05-25 06:00:00,,TI,Ticino,21,46.295617,8.808924,3306,3306,-1,49,4,934.69,98.388,888,0,348,4,,,,,,,,,1,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,601.303515,299.782817
2114,2020-07-23 12:06:14,2020-05-26 06:00:00,,TI,Ticino,21,46.295617,8.808924,3308,3308,1,50,4,935.26,98.388,888,0,348,3,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1636.074287,299.782817
2141,2020-07-23 12:06:14,2020-05-27 06:00:00,,TI,Ticino,21,46.295617,8.808924,3308,3308,-5,45,2,935.26,98.388,889,0,348,2,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2864.430374,400.289996
2167,2020-07-23 12:06:14,2020-05-28 06:00:00,,TI,Ticino,21,46.295617,8.808924,3310,3310,-2,43,2,935.82,98.388,891,0,348,1,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1910.197581,601.303515
2193,2020-07-23 12:06:14,2020-05-29 06:00:00,,TI,Ticino,21,46.295617,8.808924,3313,3313,-1,42,1,936.67,98.388,892,0,348,1,,,,,,,,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1433.514315,1204.342395
2212,2020-07-23 12:06:14,2020-05-30 06:00:00,,TI,Ticino,21,46.295617,8.808924,3313,3313,-9,33,1,936.67,98.388,894,0,348,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1638.549813,
2231,2020-07-23 12:06:14,2020-05-31 06:00:00,,TI,Ticino,21,46.295617,8.808924,3315,3315,-3,30,1,937.23,98.388,895,0,348,1,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1639.540024,
2251,2020-07-23 12:06:14,2020-06-01 06:00:00,,TI,Ticino,21,46.295617,8.808924,3315,3315,-2,28,1,937.23,98.388,895,0,348,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1639.540024,
2276,2020-07-23 12:06:14,2020-06-02 06:00:00,,TI,Ticino,21,46.295617,8.808924,3315,3315,-2,26,1,937.23,98.388,897,0,348,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2296.0496,
2303,2020-07-23 12:06:14,2020-06-03 06:00:00,,TI,Ticino,21,46.295617,8.808924,3315,3315,-6,20,1,937.23,98.388,899,0,348,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5742.724217,
2327,2020-07-23 12:06:14,2020-06-04 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-2,18,1,937.52,98.388,902,0,348,1,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3829.060289,
2351,2020-07-23 12:06:14,2020-06-05 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-1,17,1,937.52,98.388,902,0,348,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11490.647299,
2369,2020-07-23 12:06:14,2020-06-06 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-2,15,1,937.52,98.388,903,0,348,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11490.647299,
2388,2020-07-23 12:06:14,2020-06-07 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-1,14,2,937.52,98.671,904,0,349,0,,,,,,,,,0,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11490.647299,1207.808133
2413,2020-07-23 12:06:14,2020-06-08 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-1,13,2,937.52,98.671,905,0,349,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11490.647299,1207.808133
2437,2020-07-23 12:06:14,2020-06-09 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-1,12,1,937.52,98.671,906,0,349,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,1207.808133
2461,2020-07-23 12:06:14,2020-06-10 06:00:00,,TI,Ticino,21,46.295617,8.808924,3316,3316,-2,10,0,937.52,98.671,907,0,349,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,1207.808133
2482,2020-07-23 12:06:14,2020-06-11 06:00:00,,TI,Ticino,21,46.295617,8.808924,3317,3317,0,10,0,937.8,98.671,907,0,349,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11494.113035,1207.808133
2503,2020-07-23 12:06:14,2020-06-12 06:00:00,,TI,Ticino,21,46.295617,8.808924,3317,3317,-1,9,0,937.8,98.954,907,0,350,0,,,,,,,,,0,1,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11494.113035,1211.273872
2522,2020-07-23 12:06:14,2020-06-13 06:00:00,,TI,Ticino,21,46.295617,8.808924,3318,3318,0,9,0,938.08,98.954,907,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5747.922821,1211.273872
2543,2020-07-23 12:06:14,2020-06-14 06:00:00,,TI,Ticino,21,46.295617,8.808924,3321,3321,-1,8,0,938.93,98.954,908,0,350,0,,,,,,,,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2300.208484,1211.273872
2567,2020-07-23 12:06:14,2020-06-15 06:00:00,,TI,Ticino,21,46.295617,8.808924,3321,3321,-2,6,0,938.93,98.954,908,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2300.208484,1211.273872
2591,2020-07-23 12:06:14,2020-06-16 06:00:00,,TI,Ticino,21,46.295617,8.808924,3321,3321,0,6,0,938.93,98.954,908,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2875.694017,1211.273872
2616,2020-07-23 12:06:14,2020-06-17 06:00:00,,TI,Ticino,21,46.295617,8.808924,3323,3323,0,6,0,939.5,98.954,908,0,350,0,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1917.706678,
2639,2020-07-23 12:06:14,2020-06-18 06:00:00,,TI,Ticino,21,46.295617,8.808924,3324,3324,0,6,0,939.78,98.954,909,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1918.2843,
2664,2020-07-23 12:06:14,2020-06-19 06:00:00,,TI,Ticino,21,46.295617,8.808924,3324,3324,0,6,0,939.78,98.954,909,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3838.302252,
2683,2020-07-23 12:06:14,2020-06-20 06:00:00,,TI,Ticino,21,46.295617,8.808924,3325,3325,0,6,0,940.06,98.954,909,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2879.159754,
2702,2020-07-23 12:06:14,2020-06-21 06:00:00,,TI,Ticino,21,46.295617,8.808924,3325,3325,0,6,0,940.06,98.954,909,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,2879.159754,
2727,2020-07-23 12:06:14,2020-06-22 06:00:00,,TI,Ticino,21,46.295617,8.808924,3326,3326,0,6,0,940.34,98.954,909,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3840.612742,
2752,2020-07-23 12:06:14,2020-06-23 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,0,6,0,940.63,98.954,909,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3841.767988,
2777,2020-07-23 12:06:14,2020-06-24 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,0,6,0,940.63,98.954,909,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,3841.767988,
2802,2020-07-23 12:06:14,2020-06-25 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,-1,5,0,940.63,98.954,910,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5763.518633,
2828,2020-07-23 12:06:14,2020-06-26 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,0,5,0,940.63,98.954,910,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5763.518633,
2848,2020-07-23 12:06:14,2020-06-27 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,0,5,0,940.63,98.954,911,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11528.770394,
2867,2020-07-23 12:06:14,2020-06-28 06:00:00,,TI,Ticino,21,46.295617,8.808924,3327,3327,-1,4,0,940.63,98.954,912,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,,
2892,2020-07-23 12:06:14,2020-06-29 06:00:00,,TI,Ticino,21,46.295617,8.808924,3328,3328,0,4,0,940.91,98.954,912,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,11532.23613,
2918,2020-07-23 12:06:14,2020-06-30 06:00:00,,TI,Ticino,21,46.295617,8.808924,3329,3329,0,4,0,941.19,98.954,912,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5766.984369,
2945,2020-07-23 12:06:14,2020-07-01 06:00:00,,TI,Ticino,21,46.295617,8.808924,3329,3329,-2,2,0,941.19,98.954,914,0,350,0,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,5766.984369,
2971,2020-07-23 12:06:14,2020-07-02 06:00:00,,TI,Ticino,21,46.295617,8.808924,3334,3334,-1,1,0,942.61,98.954,915,0,350,0,,,,,,,,,5,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1648.947025,
2997,2020-07-23 12:06:14,2020-07-03 06:00:00,,TI,Ticino,21,46.295617,8.808924,3341,3341,0,1,0,944.59,98.954,915,0,350,0,,,,,,,,,7,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,825.339037,
3015,2020-07-23 12:06:14,2020-07-04 06:00:00,,TI,Ticino,21,46.295617,8.808924,3342,3342,-1,0,0,944.87,98.954,915,0,350,0,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,825.58659,
3035,2020-07-23 12:06:14,2020-07-05 06:00:00,,TI,Ticino,21,46.295617,8.808924,3346,3346,0,0,0,946.0,98.954,915,0,350,0,,,,,,,,,4,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,680.404033,
3062,2020-07-23 12:06:14,2020-07-06 06:00:00,,TI,Ticino,21,46.295617,8.808924,3351,3351,0,0,0,947.41,98.954,915,0,350,0,,,,,,,,,5,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,526.159821,
3087,2020-07-23 12:06:14,2020-07-07 06:00:00,,TI,Ticino,21,46.295617,8.808924,3355,3355,0,0,0,948.54,98.954,915,0,350,0,,,,,,,,,4,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,551.957888,
3113,2020-07-23 12:06:14,2020-07-08 06:00:00,,TI,Ticino,21,46.295617,8.808924,3363,3363,1,1,0,950.81,98.954,915,0,350,0,,,,,,,,,8,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,528.050229,
3138,2020-07-23 12:06:14,2020-07-09 06:00:00,,TI,Ticino,21,46.295617,8.808924,3365,3365,1,2,0,951.37,98.954,915,0,350,0,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,505.317382,
3164,2020-07-23 12:06:14,2020-07-10 06:00:00,,TI,Ticino,21,46.295617,8.808924,3367,3367,1,3,0,951.94,98.954,915,0,350,0,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,553.938315,
3182,2020-07-23 12:06:14,2020-07-11 06:00:00,,TI,Ticino,21,46.295617,8.808924,3370,3370,1,4,0,952.78,98.954,916,0,350,0,,,,,,,,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,612.977604,
3200,2020-07-23 12:06:14,2020-07-12 06:00:00,,TI,Ticino,21,46.295617,8.808924,3370,3370,0,4,1,952.78,98.954,916,0,350,1,,,,,,,,,0,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,776.901176,
3226,2020-07-23 12:06:14,2020-07-13 06:00:00,,TI,Ticino,21,46.295617,8.808924,3375,3375,0,4,1,954.2,98.954,916,0,350,1,,,,,,,,,5,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,973.004326,
3253,2020-07-23 12:06:14,2020-07-14 06:00:00,,TI,Ticino,21,46.295617,8.808924,3376,3376,0,4,1,954.48,98.954,916,0,350,1,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,1061.932045,
3278,2020-07-23 12:06:14,2020-07-15 06:00:00,,TI,Ticino,21,46.295617,8.808924,3381,3381,0,4,1,955.89,98.954,916,0,350,1,,,,,,,,,5,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,835.241154,
3303,2020-07-23 12:06:14,2020-07-16 06:00:00,,TI,Ticino,21,46.295617,8.808924,3390,3390,0,4,2,958.44,98.954,916,0,350,1,,,,,,,,,9,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,585.707659,
3329,2020-07-23 12:06:14,2020-07-17 06:00:00,,TI,Ticino,21,46.295617,8.808924,3393,3393,0,4,2,959.29,98.954,916,0,350,1,,,,,,,,,3,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,509.536555,
3389,2020-07-23 12:06:14,2020-07-20 06:00:00,,TI,Ticino,21,46.295617,8.808924,3407,3407,2,6,2,963.25,98.954,916,0,350,1,,,,,,,,,14,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,367.256976,
3413,2020-07-23 12:06:14,2020-07-21 06:00:00,,TI,Ticino,21,46.295617,8.808924,3413,3413,-1,5,1,964.94,98.954,917,0,350,1,,,,,,,,,6,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,317.954704,
3433,2020-07-23 12:06:14,2020-07-22 06:00:00,,TI,Ticino,21,46.295617,8.808924,3415,3415,0,5,1,965.51,98.954,917,0,350,1,,,,,,,,,2,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,346.366834,
3448,2020-07-23 12:06:14,2020-07-23 06:00:00,,TI,Ticino,21,46.295617,8.808924,3416,3416,0,5,1,965.79,98.954,917,0,350,1,,,,,,,,,1,0,https://www4.ti.ch/fileadmin/DSS/DSP/UMC/malattie_infettive/Coronavirus/dati/COVID19_Dati_TI_per_github.xlsx,453.609304,
